@width,link_id,lane_index,lane_id,geom
3,1,1,1_1,"LINESTRING (-87.88776887235022 43.077217620032044, -87.88775175019902 43.07784572604794, -87.8877394721373 43.07829612836459)"
3,2,1,2_1,"LINESTRING (-87.88777640128475 43.078296665454076, -87.88778867934647 43.07784626314134, -87.88780580149769 43.077218157130964)"
3,3,1,3_1,"LINESTRING (-87.88660182763039 43.07765522946261, -87.88839814144153 43.077651564436955)"
3,4,1,4_1,"LINESTRING (-87.88839803826744 43.07762458507916, -87.88660172445628 43.077628250106436)"
